"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","EvapA","UVI Max","UVI Max Time","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.1","1015.6","1015.8","2025/11/01 20:40:00","1011.9","2025/11/01 14:33:00","25.0","29.8","2025/11/01 11:19:00","20.0","2025/11/01 05:49:00","20.3","76","56","2025/11/01 12:44:00","1.0","260","6.1","260","2025/11/01 14:06:00","0.0","0.0","0.0","--","0.0","--","9.8","87.6","18.69","4.7","8","2025/11/01 12:00:00","4.3","26.7","29.0","29.2","30.2","30.4","31.8","31.2"
"02","1014.7","1016.2","1016.4","2025/11/02 09:43:00","1012.1","2025/11/02 15:17:00","26.4","31.4","2025/11/02 13:27:00","22.8","2025/11/02 22:31:00","20.7","72","55","2025/11/02 13:36:00","0.9","300","6.3","280","2025/11/02 15:49:00","0.0","0.0","0.0","--","0.0","--","7.0","62.7","17.31","4.1","7","2025/11/02 12:00:00","7.9","28.5","29.9","29.8","30.3","30.5","31.8","31.2"
"03","1015.1","1016.6","1016.5","2025/11/03 09:38:00","1013.3","2025/11/03 13:37:00","25.4","30.3","2025/11/03 11:58:00","21.3","2025/11/03 06:14:00","19.6","71","54","2025/11/03 11:58:00","1.1","290","6.4","260","2025/11/03 14:50:00","0.0","0.0","0.0","--","0.0","--","6.8","61.0","16.25","4.1","7","2025/11/03 12:00:00","5.8","27.6","29.4","29.6","30.3","30.6","31.9","31.2"
"04","1013.3","1014.8","1015.1","2025/11/04 08:25:00","1011.6","2025/11/04 13:42:00","24.8","30.4","2025/11/04 13:02:00","20.3","2025/11/04 04:10:00","20.2","77","53","2025/11/04 10:47:00","0.9","260","6.2","290","2025/11/04 14:37:00","0.0","0.0","0.0","--","0.0","--","8.6","77.2","17.53","3.4","7","2025/11/04 13:00:00","3.7","26.5","28.9","29.2","30.1","30.4","31.9","31.2"
"05","1010.2","1011.6","1012.4","2025/11/05 09:28:00","1007.8","2025/11/05 16:01:00","25.5","31.5","2025/11/05 12:37:00","20.6","2025/11/05 05:42:00","21.4","79","53","2025/11/05 12:33:00","0.9","290","5.8","250","2025/11/05 13:30:00","0.0","0.0","0.0","--","0.0","--","10.2","90.7","18.47","4.4","8","2025/11/05 12:00:00","0.4","26.9","29.1","29.2","30.0","30.3","31.8","31.2"
"06","1011.4","1012.9","1013.1","2025/11/06 23:18:00","1009.8","2025/11/06 02:43:00","25.7","30.8","2025/11/06 10:50:00","21.8","2025/11/06 05:28:00","22.3","82","59","2025/11/06 10:50:00","0.9","250","6.6","300","2025/11/06 14:09:00","0.0","0.0","0.0","--","0.0","--","10.1","91.0","18.28","2.5","8","2025/11/06 12:00:00","1.6","27.4","29.3","29.4","30.0","30.3","31.8","31.2"
"07","1013.6","1015.1","1015.3","2025/11/07 08:56:00","1012.2","2025/11/07 14:03:00","26.5","31.0","2025/11/07 11:37:00","22.9","2025/11/07 04:02:00","23.0","82","65","2025/11/07 10:38:00","1.0","290","6.7","260","2025/11/07 14:52:00","0.0","0.0","0.0","--","0.0","--","6.4","57.8","15.06","3.6","7","2025/11/07 13:00:00","3.4","29.2","29.7","29.6","30.1","30.4","31.8","31.2"
"08","1013.0","1014.5","1014.9","2025/11/08 09:07:00","1011.2","2025/11/08 14:52:00","25.9","30.5","2025/11/08 12:12:00","23.3","2025/11/08 23:48:00","23.0","85","63","2025/11/08 12:40:00","0.9","290","5.6","260","2025/11/08 12:21:00","0.0","0.0","0.0","--","0.0","--","4.5","40.7","13.17","3.2","7","2025/11/08 13:00:00","5.3","28.0","29.6","29.7","30.3","30.5","31.8","31.2"
"09","1008.2","1009.7","1011.7","2025/11/09 00:01:00","1005.4","2025/11/09 14:06:00","25.7","30.7","2025/11/09 12:45:00","22.7","2025/11/09 05:01:00","22.5","83","62","2025/11/09 13:00:00","0.7","330","5.6","250","2025/11/09 12:35:00","0.0","0.0","0.0","--","0.0","--","5.0","45.3","12.94","2.7","5","2025/11/09 14:00:00","9.3","27.3","28.9","29.1","30.0","30.3","31.8","31.2"
